case_id,scenario,family,total_marks,contract_version,question_id,student_question,student_answer,photo_path,artifact_provenance,submission_mode,teacher_status,teacher_mark,teacher_diagram,teacher_explanation,teacher_readability,teacher_rule_ids,teacher_notes,teacher_reviewer,teacher_reviewed_at,teacher_blinded
cal-12,Partly readable with all essential Lorenz features visible,lorenz,4,economics-diagram-contract-v1,synthetic-cal-q12,"Using a Lorenz curve diagram explain how income transfers targeted at low-income households can affect income inequality.","Transfers increase the share of income received by poorer households. The Lorenz curve moves toward the equality line and income inequality falls.",private/diagram-calibration/cal-12.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-13,Essential curve label obscured,money_market,4,economics-diagram-contract-v1,synthetic-cal-q13,"Using a money-market diagram explain how an increase in the money supply affects the equilibrium interest rate when money demand is unchanged.","The money-supply curve shifts right. The interest rate falls until the quantity of money demanded equals the greater supply.",private/diagram-calibration/cal-13.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-14,Clearly separable teacher marks excluded,externality,4,economics-diagram-contract-v1,synthetic-cal-q14,"Using an externality diagram explain why vaccination may be underconsumed without intervention.","Vaccination protects other people as well as the recipient. Marginal social benefit exceeds marginal private benefit so market consumption is below the socially efficient quantity.",private/diagram-calibration/cal-14.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-15,Student drawing inseparable from model-answer annotations,ad_as,4,economics-diagram-contract-v1,synthetic-cal-q15,"Using an AD/AS diagram explain how a fall in foreign demand for exports affects short-run output.","Exports fall and aggregate demand contracts. Real output falls and cyclical unemployment rises.",private/diagram-calibration/cal-15.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-16,Readable upload containing no relevant diagram,demand_supply,4,economics-diagram-contract-v1,synthetic-cal-q16,"Using a demand and supply diagram explain why a price ceiling below equilibrium causes a shortage.","At the controlled price quantity demanded exceeds quantity supplied. Consumers wish to buy more than firms offer.",private/diagram-calibration/cal-16.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-17,Two relevant regions in one image,ppc,4,economics-diagram-contract-v1,synthetic-cal-q17,"Using a PPC diagram explain the difference between bringing unemployed resources into use and increasing productive capacity.","Employing idle resources moves production from inside the PPC toward it. Greater productive capacity shifts the PPC outward.",private/diagram-calibration/cal-17.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-18,Alternative poverty-cycle causal links,poverty_cycle,4,economics-diagram-contract-v1,synthetic-cal-q18,"Using a poverty-cycle diagram explain how low household incomes can perpetuate low labour productivity.","Low income limits spending on nutrition and health. Poor health lowers productivity and earnings which keeps income low.",private/diagram-calibration/cal-18.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-19,Circular-flow relationships without axes,circular_flow,4,economics-diagram-contract-v1,synthetic-cal-q19,"Using a circular-flow diagram explain how additional investment by small firms may increase national income.","Investment is an injection into the circular flow. Firms' spending becomes income for others and raises aggregate expenditure and output.",private/diagram-calibration/cal-19.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-20,HL cost-revenue profit relationships,cost_revenue,4,economics-diagram-contract-v1,synthetic-cal-q20,"Using a cost and revenue diagram explain how a monopolist can earn abnormal profit at its profit-maximizing output.","The firm selects output where MC equals MR and obtains the price from its demand curve. If average revenue exceeds average cost at that output it earns abnormal profit.",private/diagram-calibration/cal-20.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-21,Ten-mark holistic use of a necessary diagram,ad_as,10,economics-diagram-contract-v1,synthetic-cal-q21,"Paper 1 part (a): Explain how a fall in consumer confidence may create a recessionary gap.","Lower confidence reduces consumption and aggregate demand. Short-run equilibrium real output falls below potential output as firms reduce production. Reduced labour demand creates cyclical unemployment. The size and persistence depend on other spending components and on wage and price adjustment.",private/diagram-calibration/cal-21.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
cal-22,Fifteen-mark optional diagram Paper 2g,ad_as,15,economics-diagram-contract-v1,synthetic-cal-q22,"Paper 2 part (g). Source: A fictional economy has unemployment of 8 percent and inflation of 1 percent. School buildings require repairs and public debt is 40 percent of GDP. Using this information evaluate increased government infrastructure spending.","Repair spending could raise aggregate demand and employment when unemployment is high and inflation is low. Better school facilities may also improve human capital over time. Implementation delays limit the immediate effect and borrowing creates future servicing costs. The outcome depends on spare capacity and project quality; targeted repairs could be appropriate if they can start promptly and deliver lasting benefits.",,planned_synthetic,written_only_optional_diagram,pending,,,,,,,,,
cal-23,Written four-marker with no evaluation requirement,none,4,economics-diagram-contract-v1,synthetic-cal-q23,"Explain two reasons why a public good may be underprovided by private firms.","Non-excludability allows people to benefit without paying so firms struggle to collect revenue. Non-rivalry means an additional user need not reduce others' consumption and the price that maximizes access may not cover the provider's costs.",,planned_synthetic,written_only,pending,,,,,,,,,
cal-24,Question-specific income versus wealth Lorenz labeling,lorenz,4,economics-diagram-contract-v1,synthetic-cal-q24,"Using an income-distribution Lorenz curve diagram explain how an increase in the income share of the poorest households can affect income inequality.","A greater income share for poorer households moves the Lorenz curve toward the equality line. Income inequality falls.",private/diagram-calibration/cal-24.png,planned_synthetic,text_and_diagram,pending,,,,,,,,,
